date,code
1884-12-31,sa_024r_0020_0130_0150
1885-01-01,sa_024r_0030_0010_0010
1885-01-02,sa_024r_0030_0010_0020
1885-01-03,sa_024r_0030_0010_0030
1885-01-04,sa_024r_0030_0010_0040
1885-01-05,sa_024r_0030_0010_0050
1885-01-06,sa_024r_0030_0010_0060
1885-01-07,sa_024r_0030_0010_0070
1885-01-08,sa_024r_0030_0010_0080
1885-01-09,sa_024r_0030_0010_0090
1885-01-10,sa_024r_0030_0010_0100
1885-01-11,sa_024r_0030_0010_0110
1885-01-12,sa_024r_0030_0010_0120
1885-01-13,sa_024r_0030_0010_0130
1885-01-14,sa_024r_0030_0010_0140
1885-01-15,sa_024r_0030_0010_0150
1885-01-16,sa_024r_0030_0020_0010
1885-01-17,sa_024r_0030_0020_0020
1885-01-18,sa_024r_0030_0020_0030
1885-01-19,sa_024r_0030_0020_0040
1885-01-20,sa_024r_0030_0020_0050
1885-01-21,sa_024r_0030_0020_0060
1885-01-22,sa_024r_0030_0020_0070
1885-01-23,sa_024r_0030_0020_0080
1885-01-24,sa_024r_0030_0020_0090
1885-01-25,sa_024r_0030_0020_0100
1885-01-26,sa_024r_0030_0020_0110
1885-01-27,sa_024r_0030_0020_0120
1885-01-28,sa_024r_0030_0020_0130
1885-01-29,sa_024r_0030_0020_0140
1885-01-30,sa_024r_0030_0020_0150
1885-01-31,sa_024r_0030_0020_0160
1885-02-01,sa_024r_0030_0020_0170
1885-02-02,sa_024r_0030_0020_0180
1885-02-03,sa_024r_0030_0020_0190
1885-02-04,sa_024r_0030_0020_0200
1885-02-05,sa_024r_0030_0020_0210
1885-02-06,sa_024r_0030_0020_0220
1885-02-07,sa_024r_0030_0020_0230
1885-02-08,sa_024r_0030_0020_0240
1885-02-09,sa_024r_0030_0020_0250
1885-02-10,sa_024r_0030_0020_0260
1885-02-11,sa_024r_0030_0020_0270
1885-02-12,sa_024r_0030_0020_0280
1885-02-13,sa_024r_0030_0020_0290
1885-02-14,sa_024r_0030_0020_0300
1885-02-15,sa_024r_0030_0030_0010
1885-02-16,sa_024r_0030_0030_0020
1885-02-17,sa_024r_0030_0030_0030
1885-02-18,sa_024r_0030_0030_0040
1885-02-19,sa_024r_0030_0030_0050
1885-02-20,sa_024r_0030_0030_0060
1885-02-21,sa_024r_0030_0030_0070
1885-02-22,sa_024r_0030_0030_0080
1885-02-23,sa_024r_0030_0030_0090
1885-02-24,sa_024r_0030_0030_0100
1885-02-25,sa_024r_0030_0030_0110
1885-02-26,sa_024r_0030_0030_0120
1885-02-27,sa_024r_0030_0030_0130
1885-02-28,sa_024r_0030_0030_0140
1885-03-01,sa_024r_0030_0030_0150
1885-03-02,sa_024r_0030_0030_0160
1885-03-03,sa_024r_0030_0030_0170
1885-03-04,sa_024r_0030_0030_0180
1885-03-05,sa_024r_0030_0030_0190
1885-03-06,sa_024r_0030_0030_0200
1885-03-07,sa_024r_0030_0030_0210
1885-03-08,sa_024r_0030_0030_0220
1885-03-09,sa_024r_0030_0030_0230
1885-03-10,sa_024r_0030_0030_0240
1885-03-11,sa_024r_0030_0030_0250
1885-03-12,sa_024r_0030_0030_0260
1885-03-13,sa_024r_0030_0030_0270
1885-03-14,sa_024r_0030_0030_0280
1885-03-15,sa_024r_0030_0030_0290
1885-03-16,sa_024r_0030_0030_0300
1885-03-17,sa_024r_0030_0040_0010
1885-03-18,sa_024r_0030_0040_0020
1885-03-19,sa_024r_0030_0040_0030
1885-03-20,sa_024r_0030_0040_0040
1885-03-21,sa_024r_0030_0040_0050
1885-03-22,sa_024r_0030_0040_0060
1885-03-23,sa_024r_0030_0040_0070
1885-03-24,sa_024r_0030_0040_0080
1885-03-25,sa_024r_0030_0040_0090
1885-03-26,sa_024r_0030_0040_0100
1885-03-27,sa_024r_0030_0040_0110
1885-03-28,sa_024r_0030_0040_0120
1885-03-29,sa_024r_0030_0040_0130
1885-03-30,sa_024r_0030_0040_0140
1885-03-31,sa_024r_0030_0040_0150
1885-04-01,sa_024r_0030_0040_0160
1885-04-02,sa_024r_0030_0040_0170
1885-04-03,sa_024r_0030_0040_0180
1885-04-04,sa_024r_0030_0040_0190
1885-04-05,sa_024r_0030_0040_0200
1885-04-06,sa_024r_0030_0040_0210
1885-04-07,sa_024r_0030_0040_0220
1885-04-08,sa_024r_0030_0040_0230
1885-04-09,sa_024r_0030_0040_0240
1885-04-10,sa_024r_0030_0040_0250
1885-04-11,sa_024r_0030_0040_0260
1885-04-12,sa_024r_0030_0040_0270
1885-04-13,sa_024r_0030_0040_0280
1885-04-14,sa_024r_0030_0040_0290
1885-04-15,sa_024r_0030_0040_0300
1885-04-16,sa_024r_0030_0050_0010
1885-04-17,sa_024r_0030_0050_0020
1885-04-18,sa_024r_0030_0050_0030
1885-04-19,sa_024r_0030_0050_0040
1885-04-20,sa_024r_0030_0050_0050
1885-04-21,sa_024r_0030_0050_0060
1885-04-22,sa_024r_0030_0050_0070
1885-04-23,sa_024r_0030_0050_0080
1885-04-24,sa_024r_0030_0050_0090
1885-04-25,sa_024r_0030_0050_0100
1885-04-26,sa_024r_0030_0050_0110
1885-04-27,sa_024r_0030_0050_0120
1885-04-28,sa_024r_0030_0050_0130
1885-04-29,sa_024r_0030_0050_0140
1885-04-30,sa_024r_0030_0050_0150
1885-05-01,sa_024r_0030_0050_0160
1885-05-02,sa_024r_0030_0050_0170
1885-05-03,sa_024r_0030_0050_0180
1885-05-04,sa_024r_0030_0050_0190
1885-05-05,sa_024r_0030_0050_0200
1885-05-06,sa_024r_0030_0050_0210
1885-05-07,sa_024r_0030_0050_0220
1885-05-08,sa_024r_0030_0050_0230
1885-05-09,sa_024r_0030_0050_0240
1885-05-10,sa_024r_0030_0050_0250
1885-05-11,sa_024r_0030_0050_0260
1885-05-12,sa_024r_0030_0050_0270
1885-05-13,sa_024r_0030_0050_0280
1885-05-14,sa_024r_0030_0060_0010
1885-05-15,sa_024r_0030_0060_0020
1885-05-16,sa_024r_0030_0060_0030
1885-05-17,sa_024r_0030_0060_0040
1885-05-18,sa_024r_0030_0060_0050
1885-05-19,sa_024r_0030_0060_0060
1885-05-20,sa_024r_0030_0060_0070
1885-05-21,sa_024r_0030_0060_0080
1885-05-22,sa_024r_0030_0060_0090
1885-05-23,sa_024r_0030_0060_0100
1885-05-24,sa_024r_0030_0060_0110
1885-05-25,sa_024r_0030_0060_0120
1885-05-26,sa_024r_0030_0060_0130
1885-05-27,sa_024r_0030_0060_0140
1885-05-28,sa_024r_0030_0060_0150
1885-05-29,sa_024r_0030_0060_0160
1885-05-30,sa_024r_0030_0060_0170
1885-05-31,sa_024r_0030_0060_0180
1885-06-01,sa_024r_0030_0060_0190
1885-06-02,sa_024r_0030_0060_0200
1885-06-03,sa_024r_0030_0060_0210
1885-06-04,sa_024r_0030_0060_0220
1885-06-05,sa_024r_0030_0060_0230
1885-06-06,sa_024r_0030_0060_0240
1885-06-07,sa_024r_0030_0060_0250
1885-06-08,sa_024r_0030_0060_0260
1885-06-09,sa_024r_0030_0060_0270
1885-06-10,sa_024r_0030_0060_0280
1885-06-11,sa_024r_0030_0060_0290
1885-06-12,sa_024r_0030_0060_0300
1885-06-13,sa_024r_0030_0070_0010
1885-06-14,sa_024r_0030_0070_0020
